#GBE_ID	PRS_model	phe_type	features	R_or_AUC	phe_name
INI30760	clumped_snpnet_PRS_1e-5	qt	Genotype_only	8.527500e-02	HDL.cholesterol
INI30770	clumped_snpnet_PRS_1e-3	qt	Covariates_only	2.480442e-01	IGF.1
INI30770	clumped_snpnet_PRS_1e-3	qt	Genotype_and_covariates	3.778091e-01	IGF.1
INI30770	clumped_snpnet_PRS_1e-3	qt	Genotype_only	2.885800e-01	IGF.1
INI30770	clumped_snpnet_PRS_1e-4	qt	Covariates_only	2.483087e-01	IGF.1
INI30770	clumped_snpnet_PRS_1e-4	qt	Genotype_and_covariates	3.800382e-01	IGF.1
INI30770	clumped_snpnet_PRS_1e-4	qt	Genotype_only	2.880886e-01	IGF.1
INI30770	clumped_snpnet_PRS_1e-5	qt	Covariates_only	2.484681e-01	IGF.1
INI30770	clumped_snpnet_PRS_1e-5	qt	Genotype_and_covariates	3.755471e-01	IGF.1
INI30770	clumped_snpnet_PRS_1e-5	qt	Genotype_only	2.814676e-01	IGF.1
INI30780	clumped_snpnet_PRS_1e-3	qt	Covariates_only	5.790680e-02	LDL.direct
INI30780	clumped_snpnet_PRS_1e-3	qt	Genotype_and_covariates	1.629268e-01	LDL.direct
INI30780	clumped_snpnet_PRS_1e-3	qt	Genotype_only	1.537728e-01	LDL.direct
INI30780	clumped_snpnet_PRS_1e-4	qt	Covariates_only	5.787019e-02	LDL.direct
INI30780	clumped_snpnet_PRS_1e-4	qt	Genotype_and_covariates	1.756154e-01	LDL.direct
INI30780	clumped_snpnet_PRS_1e-4	qt	Genotype_only	1.662839e-01	LDL.direct
INI30780	clumped_snpnet_PRS_1e-5	qt	Covariates_only	5.782014e-02	LDL.direct
INI30780	clumped_snpnet_PRS_1e-5	qt	Genotype_and_covariates	1.766354e-01	LDL.direct
INI30780	clumped_snpnet_PRS_1e-5	qt	Genotype_only	1.672328e-01	LDL.direct
INI30810	clumped_snpnet_PRS_1e-3	qt	Covariates_only	1.151762e-01	Phosphate
INI30810	clumped_snpnet_PRS_1e-3	qt	Genotype_and_covariates	1.054659e-01	Phosphate
INI30810	clumped_snpnet_PRS_1e-3	qt	Genotype_only	2.157220e-02	Phosphate
INI30810	clumped_snpnet_PRS_1e-4	qt	Covariates_only	1.151794e-01	Phosphate
INI30810	clumped_snpnet_PRS_1e-4	qt	Genotype_and_covariates	1.127081e-01	Phosphate
INI30810	clumped_snpnet_PRS_1e-4	qt	Genotype_only	2.143980e-02	Phosphate
INI30810	clumped_snpnet_PRS_1e-5	qt	Covariates_only	1.151416e-01	Phosphate
INI30810	clumped_snpnet_PRS_1e-5	qt	Genotype_and_covariates	1.146734e-01	Phosphate
INI30810	clumped_snpnet_PRS_1e-5	qt	Genotype_only	1.972176e-02	Phosphate
INI30820	clumped_snpnet_PRS_1e-3	qt	Covariates_only	2.259861e-01	Rheumatoid.factor
INI30820	clumped_snpnet_PRS_1e-3	qt	Genotype_and_covariates	1.999894e-01	Rheumatoid.factor
INI30820	clumped_snpnet_PRS_1e-3	qt	Genotype_only	9.574514e-02	Rheumatoid.factor
INI30820	clumped_snpnet_PRS_1e-4	qt	Covariates_only	2.261129e-01	Rheumatoid.factor
INI30820	clumped_snpnet_PRS_1e-4	qt	Genotype_and_covariates	2.458443e-01	Rheumatoid.factor
